obs_ID,study_ID,year_pub,C_mean,T_mean,C_sd,T_sd,C_n,T_n
obs261,Scott et al. 2006,2006,7.17,3.5,0.75,0.84,6,6
obs262,Scott et al. 2006,2006,2.33,1.33,1.21,1.03,6,6
obs263,"Seastedt and Vaccaro, 2001",2001,15.89,12.37,1.63,2.59,4,4
obs264,Serra et al. 2013,2013,2.83,2.22,1.36,0.88,4,4
obs265,Serra et al. 2013,2013,13.44,12.22,6.36,3.92,4,4
obs266,Shaben and Myers 2010,2010,11.66,11.81,33.54,2.46,5,5
obs267,Shackleton 2000,2000,37.55,42.05,9.43,10.78,14,14
obs268,Simao et al. 2010,2010,39.62,33.77,7.56,7.56,16,16
obs269,Skorka et al. 2010,2010,6.1,2.9,3.1,1.55,15,15
obs270,Skorka et al. 2010,2010,10.1,5.8,3.49,3.1,15,15
obs271,Slade et al. 2011,2011,21.74,21.17,3.67,2.03,5,5
obs272,Smith 2010,2010,1.6,0.93,0.17,0.21,1,1
obs273,Sorte et al. 2010,2010,7.76,7.55,0.88,0.62,3,4
obs274,St. John et al. 2006,2006,23.94,33.82,9.8,9.8,4,4
obs275,Staddon et al. 2010,2010,19.72,17.06,1.45,1.34,5,5
obs276,Stoll et al. 2006,2006,2.85,2.58,0.68,0.78,4,4
obs277,Strecker et al. 2006,2006,14.97,11.55,2.58,2.66,4,10
obs278,Su et al. 2013,2013,8.27,6.19,0.99,1.92,8,8
obs279,Svensson et al. 2010,2010,2.61,5.45,0.6,0.89,5,5
obs280,Svensson et al. 2010,2010,1.07,1.58,0.76,0.36,5,5
obs281,Talley et al. 2012,2012,8.5,5.67,2.71,2.05,15,15
obs282,Tang et al. 2012,2012,4.28,4.76,1.5,2.04,36,36
obs283,"Thomsen, 2010",2010,5.14,5.01,0.82,1.22,8,8
obs284,Timsini et al. 2011,2011,5.12,5.62,1.1,1.04,30,30
obs285,"Treberg and Husband, 1999",1999,17.5,17.7,3.85,4.03,20,21
obs286,Truscott et al. 2008,2008,15.55,11.03,2.63,2.21,15,15
obs287,"Umetsu and Pardini, 2007",2007,4.18,3.08,1.47,1.38,4,20
obs288,Usio et al. 2009,2009,20.76,11.98,4.36,3.26,5,5
obs289,"Valdivia and Thiel, 2006",2006,13.18,11.73,9.06,6.64,6,6
obs290,Valtonen et al. 2006,2006,34.7,26.9,11,6.1,15,15
obs291,Van Bael et al. 2007,2007,4.5,5.69,2.7,3.13,100,90
obs292,Vanderklift and Jacoby 2003,2003,4.37,5.37,2.12,1.76,16,16
obs293,Vasconcelos et al. 2006,2006,85.54,71.67,8.28,7.68,7,16
obs294,Vazquez-Luis et al. 2009,2009,5.81,8.81,2.01,2.75,5,5
obs295,Vila et al. 2006,2006,8.81,9.57,5.05,3.75,25,25
obs296,Vila et al. 2006,2006,13.58,7.01,4.78,3.85,22,22
obs297,Vila et al. 2006,2006,16.59,9.82,7.89,4.49,30,30
obs298,Vila et al. 2006,2006,7.72,5.26,6.03,4.02,24,24
obs299,Vila et al. 2006,2006,10.94,10.21,5.54,0,21,21
obs300,Vila et al. 2006,2006,15.67,9.92,2.84,2.84,12,12
obs301,Vila et al. 2006,2006,15.11,12.34,4.84,4.84,23,23
obs302,Vila et al. 2006,2006,28.71,24.68,9.15,6.55,27,27
obs303,Vila et al. 2006,2006,15.36,10.32,5.49,6.58,19,19
obs304,Vila et al. 2006,2006,27.71,25.28,4.46,3.58,24,24
obs305,Vila et al. 2006,2006,19.44,19.44,6.1,6.1,25,25
obs306,Vila et al. 2006,2006,15.7,8.72,7.39,8.91,13,13
obs307,Vila et al. 2006,2006,12.4,12.15,5.31,5.37,30,30
obs308,Vila et al. 2006,2006,22.36,12.64,9.31,13.31,30,30
obs309,Vila et al. 2006,2006,23.2,10.27,7.81,2.59,10,10
obs310,Vila et al. 2006,2006,28.19,17.99,8.19,3.63,14,14
obs311,Vila et al. 2006,2006,25.94,13.09,14.83,6.13,12,12
obs312,Villalpondo et al. 2009,2009,37.11,32.03,5.4,5.4,12,12
obs313,Violin et al. 2011,2011,24.65,14.85,4.94,5.54,3,3
obs314,Walker et al. 2009,2009,33.31,21.83,1.69,1.32,1,1
obs315,Walker et al. 2009,2009,33.31,13.74,1.69,1.88,1,1
obs316,Wang et al. 2010,2010,22.11,23.7,0.8,0.8,12,12
obs317,Watling et al. 2011,2011,6,4.3,2.69,2.94,6,6
obs318,White et al. 2000,2000,6.23,5.36,1.92,0.89,5,5
obs319,Wickham et al. 2004,2004,14.42,14.79,2.32,2.34,4,4
obs320,Wimp et al. 2010,2010,21.67,28.68,4.04,3.29,14,14
obs321,With and Pavuk 2012,2012,88.7,73,8.5,9.65,3,3
obs322,Xu et al. 2009,2009,6.62,4.89,1.54,1.83,5,5
obs323,Xu et al. 2012,2012,4.5,3.84,2.39,1.07,3,3
obs324,Yang et al. 2011,2011,10.68,9.07,0.59,1.22,6,6
obs325,"Zartman, 2003",2003,30.05,22.45,2.35,1.3,8,2
obs326,Zaviezo et al. 2006,2006,0.16,0.49,0.09,0.13,10,10
obs327,Zuefle et al. 2008,2008,16.09,16.69,7.5,8.12,10,10
