study_id,Obs,Ambient CO2 (ppm),Elevated CO2 (ppm),CO2 difference (ppm),Treatment duration (years),Latitude,Longitude,Country,Fercility ,Unit,Other treatments,Data location,Notes,Nitrogen addition,Ecosystem,Vegetation,,mean_ctrl,mean_trt,SD_ctrl,SD_trt,N_ctrl,N_trt,lnR,Var(lnR),,Mean_e,Std_a,Std_e,N_a,N_e,lnR,Var(lnR),,Mean_a,Mean_e,Std_a,Std_e,N_a,N_e,lnR,Var(lnR),
Barnard et al. 2004 (GCB),41,TIN,370,600,230,4,45°43' N,3°1' E,France,FACE,μg N g-1 dry soil,Nitrogen,Table2,*,Yes,Grassland,*,10.9,10.5,0.8832,2.0857,3,3,-0.0374,0.0153,,*,*,*,*,*,*,*,*,,10.9,10.5,0.8832,2.0857,3,3,-0.0374,0.0153
Barnard et al. 2004 (GCB),42,TIN,350,660,310,3,48°13' N,11°36' E,Germany,FACE,μg N g-1 dry soil,No,Table2,*,No,Grassland,*,2.8,2.8,0.3464,0.3464,6,6,0,0.0051,,2.8,2.8,0.3464,0.3464,6,6,0,0.0051,,*,*,*,*,*,*,*,*
Barnard et al. 2004 (GCB),43,TIN,350,660,310,3,48°13' N,11°36' E,Germany,FACE,μg N g-1 dry soil,Cut,Table2,*,No,Grassland,*,2.9,3.1,0.5477,0.5477,6,6,0.0667,0.0111,,2.9,3.1,0.5477,0.5477,6,6,0.0667,0.0111,,*,*,*,*,*,*,*,*
Barnard et al. 2004 (GCB),44,TIN,350,670,320,4,53°17' N,4°43'W,UK,GC,μg N g-1 dry soil,Nitrogen,Table2,*,Yes,Grassland,*,23.5,30.62,22.069,35.921,2,2,0.2647,1.1291,,*,*,*,*,*,*,*,*,,23.5,30.62,22.069,35.921,2,2,0.2647,1.1291
Barnard et al. 2004 (GCB),45,TIN,350,670,320,4,53°17' N,4°43'W,UK,GC,μg N g-1 dry soil,Nitrogen + Warming,Table2,*,Yes,Grassland,*,6.6,9.15,2.1401,1.9799,2,2,0.3267,0.076,,*,*,*,*,*,*,*,*,,6.6,9.15,2.1401,1.9799,2,2,0.3267,0.076
Barnard et al. 2004 (NP),46,NO3-,365,665,300,1.3,*,*,*,GC,μg N g-1 dry soil,No,Fig. 5; sum of different layers,*,No,Grassland,Holcus,5.3485,6.3258,0.5773,0.6749,6,6,0.1678,0.0038,,5.3485,6.3258,0.5773,0.6749,6,6,0.1678,0.0038,,*,*,*,*,*,*,*,*
Barnard et al. 2004 (NP),47,NO3-,365,665,300,1.3,*,*,*,GC,μg N g-1 dry soil,No,Fig. 7; sum of different layers,*,No,Grassland,Festuca,4.486,3.9804,0.5011,1.3452,6,6,-0.1196,0.0211,,4.486,3.9804,0.5011,1.3452,6,6,-0.1196,0.0211,,*,*,*,*,*,*,*,*
Barnard et al. 2004 (NP),48,NH4+,365,665,300,1.3,*,*,*,GC,μg N g-1 dry soil,No,Fig. 5; sum of different layers,*,No,Grassland,Holcus,3.5845,4.8706,0.2621,0.9532,6,6,0.3066,0.0073,,3.5845,4.8706,0.2621,0.9532,6,6,0.3066,0.0073,,*,*,*,*,*,*,*,*
Barnard et al. 2004 (NP),49,NH4+,365,665,300,1.3,*,*,*,GC,μg N g-1 dry soil,No,Fig. 7; sum of different layers,*,No,Grassland,Festuca,5.3062,5.2768,0.1604,0.2182,6,6,-0.0056,0.0004,,5.3062,5.2768,0.1604,0.2182,6,6,-0.0056,0.0004,,*,*,*,*,*,*,*,*
Barnard et al. 2004 (NP),50,TIN,365,665,300,1.3,*,*,*,GC,μg N g-1 dry soil,No,Fig. 5; sum of different layers,*,No,Grassland,Holcus,8.933,11.1964,0.634,1.1679,6,6,0.2258,0.0027,,8.933,11.1964,0.634,1.1679,6,6,0.2258,0.0027,,*,*,*,*,*,*,*,*
Barnard et al. 2004 (NP),51,TIN,365,665,300,1.3,*,*,*,GC,μg N g-1 dry soil,No,Fig. 7; sum of different layers,*,No,Grassland,Festuca,9.7923,9.2573,0.5262,1.3628,6,6,-0.0562,0.0041,,9.7923,9.2573,0.5262,1.3628,6,6,-0.0562,0.0041,,*,*,*,*,*,*,*,*
Berntson & Bazzaz 1997,52,NH4+,375,700,325,2,*,*,USA,GC,mg N m-2,No,Fig. 1,*,No,Forest,Yellow birch,59,47,63.6867,31.8434,6,6,-0.2274,0.2707,,59,47,63.6867,31.8434,6,6,-0.2274,0.2707,,*,*,*,*,*,*,*,*
Berntson & Bazzaz 1998,53,NH4+,375,700,325,2,*,*,USA,GC,g N m-2,No,Table 1,Independent from their 1997 paper,No,Forest,Yellow birch & White birch,0.218,0.222,0.0433,0.0658,3,3,0.0182,0.0424,,0.218,0.222,0.0433,0.0658,3,3,0.0182,0.0424,,*,*,*,*,*,*,*,*
Billes et al. 1993,54,TIN,350,700,350,0.1,*,*,*,GC,mg pot-1,Fertillizer without N,Table 3,*,No,Cropland,Wheat,4.5,7,0.45,0.7,4,4,0.4418,0.005,,4.5,7,0.45,0.7,4,4,0.4418,0.005,,*,*,*,*,*,*,*,*
Billes et al. 1993,55,TIN,350,700,350,0.1,*,*,*,GC,mg pot-1,Fertillizer with N,Table 3,50 kg N ha-1; from Zak et al. 2000 (New Phytologist; Table 6),Yes,Cropland,Wheat,2.9,5.4,0.29,0.54,4,4,0.6217,0.005,,2.9,5.4,0.29,0.54,4,4,0.6217,0.005,,*,*,*,*,*,*,*,*
Billings et al. 2004,56,TIN,350,550,200,5,36°49'N,115°55'W,USA,FACE,ng g-1 ,No,Fig.3,*,No,Desert,Shrubland,164.4345,183.7798,20.6197,36.0844,3,3,0.1112,0.0181,,*,*,*,*,*,*,*,*,,164.4345,183.7798,20.6197,36.0844,3,3,0.1112,0.0181
Blank & Derner 2004,57,TIN,360,699,339,0.3,31°05'N,97°20W,USA,GC,mmol N kg-1 soil,Planted,Table 6,High fertility soil,No,Grassland,*,1.2,1.74,0.65,0.56,12,12,0.3716,0.0331,,1.2,1.74,0.65,0.56,12,12,0.3716,0.0331,,*,*,*,*,*,*,*,*
Blank & Derner 2004,58,TIN,360,699,339,0.3,31°05'N,97°20W,USA,GC,mmol N kg-1 soil,Unplanted,Table 6,High fertility soil,No,Grassland,*,1.89,2.09,0.4,0.67,6,6,0.1006,0.0246,,1.89,2.09,0.4,0.67,6,6,0.1006,0.0246,,*,*,*,*,*,*,*,*
Blank & Derner 2004,59,TIN,360,699,339,0.3,31°05'N,97°20W,USA,GC,mmol N kg-1 soil,Planted,Table 6,Low fertility soil,No,Grassland,*,0.07,0.07,0.02,0.02,12,12,0,0.0136,,0.07,0.07,0.02,0.02,12,12,0,0.0136,,*,*,*,*,*,*,*,*
Blank & Derner 2004,60,TIN,360,699,339,0.3,31°05'N,97°20W,USA,GC,mmol N kg-1 soil,Unplanted,Table 6,Low fertility soil,No,Grassland,*,0.08,0.1,0.03,0.01,6,6,0.2231,0.0251,,0.08,0.1,0.03,0.01,6,6,0.2231,0.0251,,*,*,*,*,*,*,*,*
Bloor et al. 2009,61,TIN,380,645,265,0.3,*,*,France,GC,mg,No,Fig. 2; without comp,*,No,Grassland,,6.9917,9.2231,0.6073,4.1297,6,6,0.277,0.0347,,6.9917,9.2231,0.6073,4.1297,6,6,0.277,0.0347,,*,*,*,*,*,*,*,*
Bloor et al. 2009,62,TIN,380,645,265,0.3,*,*,France,GC,mg,No,Fig. 2; with comp,*,No,Grassland,,5.9504,4.3636,2.1863,0.9717,6,6,-0.3102,0.0308,,5.9504,4.3636,2.1863,0.9717,6,6,-0.3102,0.0308,,*,*,*,*,*,*,*,*
Bloor et al. 2009,63,TIN,380,645,265,0.3,*,*,France,GC,mg,Nitrogen,Fig. 2; without comp,*,Yes,Grassland,,8.5289,9.1736,1.9434,1.579,6,6,0.0729,0.0136,,8.5289,9.1736,1.9434,1.579,6,6,0.0729,0.0136,,*,*,*,*,*,*,*,*
Bloor et al. 2009,64,TIN,380,645,265,0.3,*,*,France,GC,mg,Nitrogen,Fig. 2; with comp,*,Yes,Grassland,,5.7521,4.1157,0.6073,0.7288,6,6,-0.3348,0.0071,,5.7521,4.1157,0.6073,0.7288,6,6,-0.3348,0.0071,,*,*,*,*,*,*,*,*
Carnol et al. 2002,65,NH4+,350,750,400,4,*,*,Germany,OTC,*,No,Table 1,Sum of upper and lower soil layers,No,Forest,Coniferous,0.77,0.76,0.0316,0.0316,5,5,-0.0131,0.0007,,*,*,*,*,*,*,*,*,,0.77,0.76,0.0316,0.0316,5,5,-0.0131,0.0007
Carnol et al. 2002,66,NO3-,350,750,400,4,*,*,Germany,OTC,*,No,Table 1,Sum of upper and lower soil layers,No,Forest,Coniferous,0.4,0.44,0.1304,0.0806,5,5,0.0953,0.028,,*,*,*,*,*,*,*,*,,0.4,0.44,0.1304,0.0806,5,5,0.0953,0.028
Carnol et al. 2002,67,TIN,350,750,400,4,*,*,Germany,OTC,*,No,Table 1,Sum of NH4+ and NO3-,No,Forest,Coniferous,1.17,1.2,0.1342,0.0866,5,5,0.0253,0.0037,,*,*,*,*,*,*,*,*,,1.17,1.2,0.1342,0.0866,5,5,0.0253,0.0037
Carrillo et al. 2012,68,NH4+,*,600,*,4.1,41°11' N,104°54' W,USA,FACE,g m-2,No,Fig. 2,*,No,Grassland,*,0.1298,0.1607,0.0138,0.0321,5,5,0.2135,0.0102,,0.1043,0.0964,0.0157,0.018,5,5,-0.0788,0.0115,,0.1553,0.2251,0.0231,0.0622,5,5,0.3712,0.0197
Carrillo et al. 2012,69,NH4+,*,600,*,4.1,41°11' N,104°54' W,USA,FACE,g m-2,Warming,Fig. 2,*,No,Grassland,*,0.1213,0.1629,0.0138,0.0221,5,5,0.2949,0.0063,,0.1146,0.1167,0.0202,0.022,5,5,0.0182,0.0133,,0.128,0.2091,0.0191,0.0389,5,5,0.4908,0.0114
Carrillo et al. 2012,70,NO3-,*,600,*,4.1,41°11' N,104°54' W,USA,FACE,g m-2,No,Fig. 3,*,No,Grassland,*,0.1258,0.0942,0.0175,0.0111,5,5,-0.2893,0.0066,,0.1442,0.1083,0.0191,0.0153,5,5,-0.2863,0.0075,,0.1074,0.0802,0.0297,0.0164,5,5,-0.292,0.0237
Carrillo et al. 2012,71,NO3-,*,600,*,4.1,41°11' N,104°54' W,USA,FACE,g m-2,Warming,Fig. 3,*,No,Grassland,*,0.1302,0.09,0.0158,0.01,5,5,-0.3693,0.0054,,0.1598,0.1096,0.0302,0.0157,5,5,-0.3771,0.0112,,0.1007,0.0705,0.0107,0.0126,5,5,-0.3565,0.0086
Carrillo et al. 2012,72,TIN,*,600,*,4.1,41°11' N,104°54' W,USA,FACE,g m-2,No,Fig. 2 + Fig. 3,*,No,Grassland,*,0.2556,0.255,0.0223,0.0339,5,5,-0.0024,0.0051,,0.2485,0.2047,0.0247,0.0237,5,5,-0.1939,0.0047,,0.2627,0.3053,0.0376,0.0643,5,5,0.1503,0.013
Carrillo et al. 2012,73,TIN,*,600,*,4.1,41°11' N,104°54' W,USA,FACE,g m-2,Warming,Fig. 2 + Fig. 3,*,No,Grassland,*,0.2515,0.2529,0.021,0.0243,5,5,0.0056,0.0032,,0.2743,0.2262,0.0363,0.027,5,5,-0.1928,0.0064,,0.2287,0.2796,0.0219,0.0409,5,5,0.2009,0.0061
Cheng et al. 2001,74,NH4+,374.5,683.5,309,0.3,*,*,Japan,GC,Mg N Kg-1 soil,Fertilizer,Fig. 2; Sum across layers,*,Yes,Cropland,Rice,30.7449,31.9533,2.296,1.9935,3,3,0.0386,0.0032,,30.7449,31.9533,2.296,1.9935,3,3,0.0386,0.0032,,*,*,*,*,*,*,*,*
Das et al. 2011,75,TIN,*,600,*,0.2,*,*,India,GC,ug g-1 soil,Flood 25 C,Fig. 2; last incubation day,Ninhydrin nitrogen content; alluvial soil,No,Cropland,Rice,1.4198,1.4198,0.0617,0.1852,3,3,0,0.0063,,1.4198,1.4198,0.0617,0.1852,3,3,0,0.0063,,*,*,*,*,*,*,*,*
Das et al. 2011,76,TIN,*,600,*,0.2,*,*,India,GC,ug g-1 soil,Flood 35 C,Fig. 2; last incubation day,Ninhydrin nitrogen content; alluvial soil,No,Cropland,Rice,1.6463,1.8293,0.1829,0.122,3,3,0.1054,0.0056,,1.6463,1.8293,0.1829,0.122,3,3,0.1054,0.0056,,*,*,*,*,*,*,*,*
Das et al. 2011,77,TIN,*,600,*,0.2,*,*,India,GC,ug g-1 soil,Flood 45 C,Fig. 2; last incubation day,Ninhydrin nitrogen content; alluvial soil,No,Cropland,Rice,1.9024,1.9756,0.0732,0.0732,3,3,0.0378,0.001,,1.9024,1.9756,0.0732,0.0732,3,3,0.0378,0.001,,*,*,*,*,*,*,*,*
