study_id,ecosystem/vegetation type,N addition (kg N ha-1 y-1),addition simplify,Fertilizer type,Fertilizer type simplify,Duration (days),Duration simplify,Species,Needle/broadleaf,C3/C4,Legume/non-legume,Deciduous/evergreen,Organ,Organ simplify 1,Organ simplify 2,mean_trt,mean_ctrl,Δ1,δ15N of fertilizer ‰,Δ2,,SD_trt,SD_ctrl,N_trt,N_ctrl,N,J,S,Hedages d,Vd,Vd*n,w',d',
2 ,Tree,130.000 ,100-200,Urea,urea,3285 ,3-10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,4.971 ,-2.154 ,7.124 ,0.000 ,-7.124 ,,1.020 ,0.829 ,3.000 ,3.000 ,60.000 ,0.8000 ,0.9297 ,6.1305 ,3.7986 ,227.9163,0.0044,0.0269 ,
2 ,Tree,126.000 ,100-200,Urea,urea,3650 , > 10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,4.727 ,-2.397 ,7.124 ,0.000 ,-7.124 ,,1.020 ,0.829 ,3.000 ,3.000 ,60.000 ,0.8000 ,0.9297 ,6.1305 ,3.7986 ,227.9163,0.0044,0.0269 ,
2 ,Tree,122.727 ,100-200,Urea,urea,4015 , > 10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,4.727 ,-1.639 ,6.366 ,0.000 ,-6.366 ,,1.020 ,0.829 ,3.000 ,3.000 ,60.000 ,0.8000 ,0.9297 ,5.4778 ,3.1672 ,190.0339,0.0053,0.0288 ,
2 ,Tree,120.000 ,100-200,Urea,urea,4380 , > 10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,4.727 ,-2.668 ,7.395 ,0.000 ,-7.395 ,,1.020 ,0.829 ,3.000 ,3.000 ,60.000 ,0.8000 ,0.9297 ,6.3636 ,4.0413 ,242.4782,0.0041,0.0262 ,
2 ,Tree,117.692 ,100-200,Urea,urea,4745 , > 10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,3.968 ,-2.533 ,6.501 ,0.000 ,-6.501 ,,1.020 ,0.829 ,3.000 ,3.000 ,60.000 ,0.8000 ,0.9297 ,5.5944 ,3.2748 ,196.4862,0.0051,0.0285 ,
2 ,Tree,115.714 ,100-200,Urea,urea,5110 , > 10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,3.941 ,-2.668 ,6.609 ,0.000 ,-6.609 ,,1.020 ,0.829 ,3.000 ,3.000 ,60.000 ,0.8000 ,0.9297 ,5.6876 ,3.3624 ,201.7458,0.0050,0.0282 ,
2 ,Tree,114.000 ,100-200,Urea,urea,5475 , > 10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,3.995 ,-2.912 ,6.907 ,0.000 ,-6.907 ,,1.020 ,0.829 ,3.000 ,3.000 ,60.000 ,0.8000 ,0.9297 ,5.9440 ,3.6110 ,216.6582,0.0046,0.0274 ,
2 ,Tree,112.500 ,100-200,Urea,urea,5840 , > 10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,5.242 ,-3.183 ,8.424 ,0.000 ,-8.424 ,,1.020 ,0.829 ,3.000 ,3.000 ,60.000 ,0.8000 ,0.9297 ,7.2494 ,5.0461 ,302.7684,0.0033,0.0239 ,
2 ,Tree,111.176 ,100-200,Urea,urea,6205 , > 10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,5.756 ,-3.427 ,9.183 ,0.000 ,-9.183 ,,1.020 ,0.829 ,3.000 ,3.000 ,60.000 ,0.8000 ,0.9297 ,7.9021 ,5.8702 ,352.2147,0.0028,0.0224 ,
2 ,Tree,110.000 ,100-200,Urea,urea,6570 , > 10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,5.648 ,-3.562 ,9.210 ,0.000 ,-9.210 ,,1.020 ,0.829 ,3.000 ,3.000 ,60.000 ,0.8000 ,0.9297 ,7.9254 ,5.9010 ,354.0595,0.0028,0.0224 ,
