study_id,ecosystem_veg,N addition,addition simplify,Fertilizer type,Fertilizer type simplify,Duration_days,Duration simplify,Species,Needle_broadleaf,C3_C4,Legume_non-legume,Deciduous_evergreen,Organ,Organ simplify 1,Organ simplify 2,1,15N of fertilizer,2,NA,mean_trt,mean_ctrl,SD_trt,SD_ctrl,N_trt,N_ctrl,N,J,S,HedagesD,Vd,VdN,w,d
2,Tree,180,100-200,Urea,urea,730,< 3 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,-0.65,0,0.65,NA,-0.637,0.014,1.02,0.829,3,3,60,0.8,0.9297,-0.5594,0.6927,41.5649,0.0241,-0.0135
2,Tree,180,100-200,Urea,urea,1095,3-10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,1.652,0,-1.652,NA,1.666,0.014,1.02,0.829,3,3,60,0.8,0.9297,1.4219,0.8352,50.1091,0.02,0.0284
2,Tree,165,100-200,Urea,urea,1460,3-10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,4.361,0,-4.361,NA,3.725,-0.637,1.02,0.829,3,3,60,0.8,0.9297,3.7529,1.8404,110.4213,0.0091,0.034
2,Tree,156,100-200,Urea,urea,1825,3-10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,4.822,0,-4.822,NA,4.104,-0.718,1.02,0.829,3,3,60,0.8,0.9297,4.1492,2.1013,126.0783,0.0079,0.0329
2,Tree,150,100-200,Urea,urea,2190,3-10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,5.363,0,-5.363,NA,4.239,-1.124,1.02,0.829,3,3,60,0.8,0.9297,4.6154,2.4418,146.5083,0.0068,0.0315
2,Tree,141.429,100-200,Urea,urea,2555,3-10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,4.93,0,-4.93,NA,3.698,-1.233,1.02,0.829,3,3,60,0.8,0.9297,4.2424,2.1665,129.9907,0.0077,0.0326
2,Tree,135,100-200,Urea,urea,2920,3-10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,6.393,0,-6.393,NA,4.998,-1.395,1.02,0.829,3,3,60,0.8,0.9297,5.5011,3.1886,191.3131,0.0052,0.0288
2,Tree,130,100-200,Urea,urea,3285,3-10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,7.124,0,-7.124,NA,4.971,-2.154,1.02,0.829,3,3,60,0.8,0.9297,6.1305,3.7986,227.9163,0.0044,0.0269
2,Tree,126,100-200,Urea,urea,3650, > 10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,7.124,0,-7.124,NA,4.727,-2.397,1.02,0.829,3,3,60,0.8,0.9297,6.1305,3.7986,227.9163,0.0044,0.0269
2,Tree,122.727,100-200,Urea,urea,4015, > 10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,6.366,0,-6.366,NA,4.727,-1.639,1.02,0.829,3,3,60,0.8,0.9297,5.4778,3.1672,190.0339,0.0053,0.0288
2,Tree,120,100-200,Urea,urea,4380, > 10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,7.395,0,-7.395,NA,4.727,-2.668,1.02,0.829,3,3,60,0.8,0.9297,6.3636,4.0413,242.4782,0.0041,0.0262
2,Tree,117.692,100-200,Urea,urea,4745, > 10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,6.501,0,-6.501,NA,3.968,-2.533,1.02,0.829,3,3,60,0.8,0.9297,5.5944,3.2748,196.4862,0.0051,0.0285
2,Tree,115.714,100-200,Urea,urea,5110, > 10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,6.609,0,-6.609,NA,3.941,-2.668,1.02,0.829,3,3,60,0.8,0.9297,5.6876,3.3624,201.7458,0.005,0.0282
2,Tree,114,100-200,Urea,urea,5475, > 10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,6.907,0,-6.907,NA,3.995,-2.912,1.02,0.829,3,3,60,0.8,0.9297,5.944,3.611,216.6582,0.0046,0.0274
2,Tree,112.5,100-200,Urea,urea,5840, > 10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,8.424,0,-8.424,NA,5.242,-3.183,1.02,0.829,3,3,60,0.8,0.9297,7.2494,5.0461,302.7684,0.0033,0.0239
