Species,study_id,T_ style,Control Day T (mean),Control Night T (mean),Control Whole-day T (mean),Increased Day T (mean),Increased Night T (mean),Increased Whole-day T (mean),_Day T,_Night T,_Whole-day T,T Position,Facility,Exposed time(d),Other Treatment,pot or field,Latitude,Longitude,Elevation(m),mean_ctrl,mean_trt,SD_ctrl,SD_trt,Sc,Se,N_ctrl,N_trt,Unit
Aster ericoides,Zhou 2007,day/night,*,*,16.3,NA,NA,NA,*,*,1.1,air,infrared heater,1year,NA,field,34?58_54_N,97?31_14_W,*,7.4035,7.6491,0.945503041,0.515617591,0.386,0.2105,6,6,_mol m-2 s-1
Aster ericoides,Zhou 2007,day/night,*,*,16.3,NA,NA,NA,*,*,1.1,air,infrared heater,1year,NA,field,34?58_54_N,97?31_14_W,*,5.1579,5.2982,0.515617591,0.601594681,0.2105,0.2456,6,6,_mol m-2 s-1
Aster ericoides,Zhou 2007,day/night,*,*,16.3,NA,NA,NA,*,*,1.1,air,infrared heater,1year,NA,field,34?58_54_N,97?31_14_W,*,3.5088,3.7193,0.34390836,0.25793127,0.1404,0.1053,6,6,_mol m-2 s-1
Aster ericoides,Zhou 2007,day/night,*,*,16.3,NA,NA,NA,*,*,1.1,air,infrared heater,1year,NA,field,34?58_54_N,97?31_14_W,*,0.8772,1.0526,0.17195418,0.25793127,0.0702,0.1053,6,6,_mol m-2 s-1
Betula alleghaniensis,Wayne 1998,day/night,26,21,*,31,26,*,5,5,*,air,growth container,61days,NA,pot,*,*,*,590.1639,1628.4153,185.4704317,1391.029935,43.7158,327.8689,18,18,_mol g-1 s-1
Betula alleghaniensis,Wayne 1998,day/night,26,21,*,31,26,*,5,5,*,air,growth container,61days,CO2,pot,*,*,*,797.8142,896.1749,463.6765036,788.2499713,109.2896,185.7923,18,18,_mol g-1 s-1
Betula papyrifera,Tjoelker 1999a,day/night,18,12,*,24,18,*,6,6,*,air,growth chamber,0.6 - 3,*,pot,*,*,*,11.6469,19.7639,13.23483803,11.64658888,5.4031,4.7547,6,6,nmol g-1 s-1
Betula papyrifera,Tjoelker 1999a,day/night,18,12,*,30,24,*,12,12,*,air,growth chamber,0.6 - 3,*,pot,*,*,*,11.6469,24.1755,13.23483803,10.58791941,5.4031,4.3225,6,6,nmol g-1 s-1
Betula papyrifera,Tjoelker 1999a,day/night,18,12,*,24,18,*,6,6,*,air,growth chamber,0.6 - 3,CO2,pot,*,*,*,11.8231,18.7936,24.35209218,10.07230182,9.9417,4.112,6,6,nmol g-1 s-1
Betula papyrifera,Tjoelker 1999a,day/night,18,12,*,30,24,*,12,12,*,air,growth chamber,0.6 - 3,CO2,pot,*,*,*,11.8231,25.6755,24.35209218,10.60114666,9.9417,4.3279,6,6,nmol g-1 s-1
Betula papyrifera,Tjoelker 1999b,day/night,18,12,*,24,18,*,6,6,6,air,"chamber, metal halied lamp",2.3,*,pot,*,*,*,18.9133,25.174,7.043384609,3.130335425,4.0665,1.8073,3,3,nmol g-1 s-1
Betula papyrifera,Tjoelker 1999b,day/night,18,12,*,24,18,*,6,6,6,air,"chamber, metal halied lamp",2.3,*,pot,*,*,*,18.9133,39.2625,7.043384609,7.826098369,4.0665,4.5184,3,3,nmol g-1 s-1
Betula papyrifera,Tjoelker 1999b,day/night,18,12,*,30,24,*,6,6,6,air,"chamber, metal halied lamp",2.3,*,pot,*,*,*,18.9133,19.565,7.043384609,6.652114332,4.0665,3.8406,3,3,nmol g-1 s-1
Betula papyrifera,Tjoelker 1999b,day/night,18,12,*,30,24,*,6,6,6,air,"chamber, metal halied lamp",2.3,*,pot,*,*,*,18.9133,28.3044,7.043384609,3.913049184,4.0665,2.2592,3,3,nmol g-1 s-1
Betula papyrifera,Tjoelker 1999b,day/night,18,12,*,24,18,*,6,6,6,air,"chamber, metal halied lamp",2.3,CO2,pot,*,*,*,11.3477,25.4359,2.739065147,3.913049184,1.5814,2.2592,3,3,nmol g-1 s-1
Betula papyrifera,Tjoelker 1999b,day/night,18,12,*,24,18,*,6,6,6,air,"chamber, metal halied lamp",2.3,CO2,pot,*,*,*,11.3477,36.5214,2.739065147,3.521778907,1.5814,2.0333,3,3,nmol g-1 s-1
Betula papyrifera,Tjoelker 1999b,day/night,18,12,*,30,24,*,6,6,6,air,"chamber, metal halied lamp",2.3,CO2,pot,*,*,*,11.3477,15.1303,2.739065147,7.826098369,1.5814,4.5184,3,3,nmol g-1 s-1
Betula papyrifera,Tjoelker 1999b,day/night,18,12,*,30,24,*,6,6,6,air,"chamber, metal halied lamp",2.3,CO2,pot,*,*,*,11.3477,20.8694,2.739065147,9.782449756,1.5814,5.6479,3,3,nmol g-1 s-1
Carex caryophyllea,Larigauderie 1995,day/night,10,5,*,20,15,*,10,10,*,air,chamber,<1,*,pot,*,*,2500,2.6192,5.8779,2.9238,3.5328,1.4619,1.7664,4,4,mmol g-1 s-1
Carex foetida,Larigauderie 1995,day/night,10,5,*,20,15,*,10,10,*,air,chamber,<1,*,pot,*,*,2500,2.6801,6.7307,3.2892,4.022,1.6446,2.011,4,4,mmol g-1 s-1
Cerastium uniflorum,Larigauderie 1995,day/night,10,5,*,20,15,*,10,10,*,air,chamber,<1,*,pot,*,*,2500,4.6559,15.9531,1.2212,1.5266,0.6106,0.7633,4,4,mmol g-1 s-1
Cirsium acaule,Larigauderie 1995,day/night,10,5,*,20,15,*,10,10,*,air,chamber,<1,*,pot,*,*,2500,2.8977,8.5228,1.5908,6.3636,0.7954,3.1818,4,4,mmol g-1 s-1
Cirsium alpinum,Larigauderie 1995,day/night,10,5,*,20,15,*,10,10,*,air,chamber,<1,*,pot,*,*,2500,4.4889,11.989,2.2384,3.6364,1.1192,1.8182,4,4,mmol g-1 s-1
Colobanthus quitensis,Xiong 2000,day,*,*,7,*,*,12,*,*,5,air,growth chamber,2.3,*,pot,*,*,*,0.1586,0.1261,0.115399827,0.08654987,0.0408,0.0306,8,8,_mol g-1 s-1
Colobanthus quitensis,Xiong 2000,day,*,*,7,*,*,20,*,*,13,air,growth chamber,2.3,*,pot,*,*,*,0.1586,0.1766,0.115399827,0.230516811,0.0408,0.0815,8,8,_mol g-1 s-1
Colobanthus quitensis,Xiong 2000,day,*,*,7,*,*,12,*,*,5,air,growth chamber,2.3,*,pot,*,*,*,7.3739,7.563,4.033619923,5.041954193,1.4261,1.7826,8,8,_mol m-2 s-1
Colobanthus quitensis,Xiong 2000,day,*,*,7,*,*,20,*,*,13,air,growth chamber,2.3,*,pot,*,*,*,7.3739,7.1218,4.033619923,8.083079037,1.4261,2.8578,8,8,_mol m-2 s-1
Delphinium nuttallianum,Lambrecht 2007,day/night,*,*,*,*,*,*,*,*,*,air,infrade heater,>12,*,field,38.57,-106.59,2920,3.3,3,17.99990001,12.00008241,4.0249,2.6833,20,20,_mol m-2 s-1
Delphinium nuttallianum,Lambrecht 2007,day/night,*,*,*,*,*,*,*,*,*,air,infrade heater,>12,*,field,38.57,-106.59,2920,3,6.5,17.99990001,35.99980001,4.0249,8.0498,20,20,_mol m-2 s-1
Deschampsia antarctica,Xiong 2000,day,*,*,7,*,*,12,*,*,5,air,growth chamber,2.3,*,pot,*,*,*,0.0811,0.066,0.105783174,0.060245498,0.0374,0.0213,8,8,_mol g-1 s-1
Deschampsia antarctica,Xiong 2000,day,*,*,7,*,*,20,*,*,13,air,growth chamber,2.3,*,pot,*,*,*,0.0811,0.0717,0.105783174,0.060245498,0.0374,0.0213,8,8,_mol g-1 s-1
Deschampsia antarctica,Xiong 2000,day,*,*,7,*,*,12,*,*,5,air,growth chamber,2.3,*,pot,*,*,*,7.7521,7.4369,6.554597019,6.554597019,2.3174,2.3174,8,8,_mol m-2 s-1
Deschampsia antarctica,Xiong 2000,day,*,*,7,*,*,20,*,*,13,air,growth chamber,2.3,*,pot,*,*,*,7.7521,7.3739,6.554597019,4.537928479,2.3174,1.6044,8,8,_mol m-2 s-1
Erigeron speciosus,Lambrecht 2007,day/night,*,*,*,*,*,*,*,*,*,air,infrade heater,>12,*,field,38.57,-106.59,2920,2.2,3.4,8,17.6,2,4.4,16,16,_mol m-2 s-1
